ax,ay,az,g1,g2,g3
-372,484,4113,0,-39,-35
-377,482,4112,0,-41,-36
-376,483,4114,0,-40,-37
-367,484,4110,1,-41,-39
-368,485,4111,0,-41,-37
-372,484,4113,0,-39,-35
-371,484,4113,1,-40,-36
-367,483,4110,1,-39,-38
-366,481,4109,1,-39,-38
-363,485,4109,4,-39,-36
-364,484,4108,2,-40,-38
-369,481,4108,2,-39,-37
-367,481,4107,1,-41,-37
-366,483,4110,2,-41,-37
-363,485,4109,4,-39,-36
-361,480,4107,1,-41,-36
-360,481,4104,1,-39,-36
-363,480,4105,0,-40,-38
-364,481,4112,0,-39,-36
-366,481,4111,0,-41,-38
-364,481,4113,0,-40,-36
-371,477,4112,0,-36,-35
-369,479,4109,1,-38,-37
-368,476,4105,1,-39,-38
-365,479,4104,1,-41,-36
-371,475,4104,1,-40,-37
-371,475,4109,1,-38,-37
-367,482,4108,1,-39,-38
-364,484,4108,0,-40,-36
-363,483,4106,0,-40,-36
-379,483,4123,1,-37,-38
-375,484,4117,1,-35,-36
-368,485,4113,-1,-37,-38
-375,480,4116,0,-41,-35
-376,481,4116,-1,-41,-36
-379,480,4120,-2,-40,-36
-379,488,4113,1,-40,-35
-373,483,4113,0,-42,-37
-373,480,4112,0,-42,-36
-363,477,4109,1,-39,-36
-369,477,4107,1,-41,-36
-374,480,4106,2,-41,-36
-355,472,4105,-4,-32,-28
-360,466,4101,-2,-35,-31
-369,464,4097,-1,-37,-33
-384,503,4119,-6,-33,-27
-368,481,4113,-5,-32,-28
-355,472,4105,-4,-32,-28
-375,495,4113,0,-35,-35
-384,512,4120,-2,-34,-32
-387,521,4124,-3,-35,-27
-367,480,4089,4,-39,-36
-371,482,4092,2,-38,-38
-384,492,4128,4,-36,-39
-376,476,4090,-4,-50,-40
-385,482,4103,-1,-43,-39
-400,498,4132,2,-36,-38
-404,485,4153,-8,-28,-44
-380,515,4167,2,-21,-42
-305,460,3995,4,-34,-39
-383,485,4104,4,-48,-43
-393,488,4127,4,-42,-44
-379,472,4136,-3,-47,-47
-376,482,4075,0,-49,-44
-372,491,4078,1,-52,-46
-383,485,4104,4,-48,-43
-386,483,4107,0,-46,-41
-386,482,4124,0,-43,-41
-390,479,4109,1,-43,-42
-367,492,4076,0,-39,-35
-373,486,4077,1,-40,-36
-379,480,4073,4,-43,-36
-382,480,4130,-1,-34,-37
-377,483,4113,-5,-34,-39
-370,485,4084,-3,-39,-37
-377,486,4112,2,-44,-35
-383,485,4116,3,-45,-36
-384,488,4118,2,-44,-36
-363,492,4100,4,-40,-36
-363,492,4090,1,-42,-38
-368,489,4079,2,-44,-38
-377,480,4111,1,-41,-40
-376,481,4117,0,-40,-39
-374,483,4113,0,-39,-39
-375,477,4104,5,-43,-35
-375,479,4104,3,-41,-37
-382,480,4110,2,-40,-38
-372,477,4104,0,-40,-36
-374,472,4100,1,-41,-38
-375,472,4100,4,-40,-39
-360,462,4096,0,-41,-38
-360,468,4102,0,-44,-38
-363,476,4106,2,-42,-38
-375,464,4133,-3,-47,-36
-385,471,4125,-2,-44,-37
-391,484,4120,1,-39,-36
-378,484,4072,-2,-47,-37
-385,468,4103,-2,-48,-37
-375,464,4133,-3,-47,-36
-384,484,4121,1,-43,-31
-379,472,4118,-2,-44,-34
-367,474,4111,-6,-48,-38
-363,480,4106,-4,-46,-34
-371,477,4099,-4,-47,-36
-378,482,4098,-4,-48,-36
-376,473,4105,1,-43,-35
-374,477,4108,-1,-45,-35
-369,481,4110,0,-42,-35
-364,485,4112,0,-43,-35
-367,479,4107,-1,-44,-36
-373,474,4101,-1,-44,-36
-376,476,4120,0,-44,-36
-373,478,4122,0,-44,-37
-374,478,4122,0,-43,-37
-359,485,4116,0,-47,-36
-360,484,4113,1,-47,-37
-365,481,4112,1,-46,-37
-363,476,4108,1,-47,-36
-368,479,4110,1,-47,-36
-367,480,4115,1,-46,-37
-375,481,4097,1,-43,-36
-372,480,4099,1,-45,-36
-365,479,4107,2,-46,-37
-378,480,4097,-3,-44,-38
-374,479,4102,-3,-43,-36
-376,481,4103,-1,-43,-36
-381,490,4128,-2,-39,-37
-379,490,4124,-3,-38,-36
